ID,Depth,Surface Area
sp-o10138,187,773125
sp-o10138,188,962500
sp-o10138,189,1145000
sp-o10138,190,1280000
sp-o10138,191,1522500
sp-o10138,192,1763750
sp-o10138,193,1983750
sp-o10138,194,2518125
sp-o10138,195,2937500
sp-o10138,196,3643750
sp-o10138,197,4397500
sp-o10138,198,5360625
sp-o10138,199,6419375
sp-o10138,200,7278750
sp-o10138,201,8595625
sp-o10138,202,9792500
sp-o10138,203,10718750
sp-o10138,204,12130000
sp-o10138,205,13923750
sp-o10138,206,15413750
sp-o10138,207,16847500
sp-o10138,208,17272500
