ID,Depth,Surface Area
ODSS_21166_WSLAHD.1,176,1148125.0
ODSS_21166_WSLAHD.1,177,1212187.5
ODSS_21166_WSLAHD.1,178,1276250.0
ODSS_21166_WSLAHD.1,179,1350625.0
ODSS_21166_WSLAHD.1,180,1425000.0
ODSS_21166_WSLAHD.1,181,1503437.5
ODSS_21166_WSLAHD.1,182,1581875.0
ODSS_21166_WSLAHD.1,183,1673125.0
ODSS_21166_WSLAHD.1,184,1764375.0
ODSS_21166_WSLAHD.1,185,1850937.5
ODSS_21166_WSLAHD.1,186,1937500.0
ODSS_21166_WSLAHD.1,187,2052500.0
ODSS_21166_WSLAHD.1,188,2167500.0
ODSS_21166_WSLAHD.1,189,2268125.0
ODSS_21166_WSLAHD.1,190,2368750.0
ODSS_21166_WSLAHD.1,191,2469375.0
ODSS_21166_WSLAHD.1,192,2570000.0
ODSS_21166_WSLAHD.1,193,2665937.5
ODSS_21166_WSLAHD.1,194,2761875.0
ODSS_21166_WSLAHD.1,195,2847708.3333333335
ODSS_21166_WSLAHD.1,196,2933541.6666666665
ODSS_21166_WSLAHD.1,197,3019375.0
ODSS_21166_WSLAHD.1,198,3125937.5
ODSS_21166_WSLAHD.1,199,3232500.0
ODSS_21166_WSLAHD.1,200,3301250.0
ODSS_21166_WSLAHD.1,201,3370000.0
