ID,Depth,Surface Area
136316A,252,1488750.0
136316A,253,1581875.0
136316A,254,1675000.0
136316A,255,1768125.0
136316A,256,2107812.5
136316A,257,2447500.0
136316A,258,2671875.0
136316A,259,2883125.0
136316A,260,3094375.0
136316A,261,3305625.0
136316A,262,3685937.5
136316A,263,4066250.0
136316A,264,4398125.0
136316A,265,4730000.0
136316A,266,5159375.0
136316A,267,5588750.0
136316A,268,5975625.0
136316A,269,6541875.0
136316A,270,7108125.0
136316A,271,7674375.0
136316A,272,8326250.0
136316A,273,9055937.5
136316A,274,9785625.0
136316A,275,10609791.666666666
136316A,276,11433958.333333334
136316A,277,12258125.0
136316A,278,13760625.0
136316A,279,14007187.5
136316A,280,14253750.0
