NAME,gauge_ID,staion_nam,lat,lon
BLOWERING RESERVOIR,410573,Jounama Pondage RL,-35.47765041298367,148.26054021920297
LAKE WINDAMERE,421148,WINDAMERE DAM,-32.777211525377865,149.81262722058753
GOOGONG RESERVOIR,410748,Googong Res at Dam,-35.441364078245975,149.26642690884174
LAKE LESLIE,422315B,Leslie Dam,-28.240397705255834,151.90329483900246
LAKE WIVENHOE,143036A,Wivenhoe,-27.287505567022073,152.5504857332484
BOONDOOMA LAKE,136316A,Boondooma Dam,-26.132760184629337,151.4232128470303
LAKE BARAMBAH,136210A,Bjelke-Petersen Dam,-26.345030731360843,152.00790787692972
GOLD CREEK RESERVOIR,143048A,Gold Creek,-27.458893111460444,152.8777237684041
LAKE PINDARI,416030,PINDARI DAM,-29.385048987513045,151.2705888611835
LAKE SAMSONVALE,142801A,North Pine,-27.262502387179087,152.8945089392875
LAKE DYER,143228A,Bill Gunn Dam L Dyer,-27.62986629316202,152.37360965173139
LAKE COPETON,418035,COPETON DAM,-29.916065249302854,150.978289010525
LAKE SOMERSET,143305A,Somerset,-27.0279711209187,152.58132060512008
LAKE MAROON,145021A,Maroon,-28.190359589078273,152.64518786446826
JACK TAYLOR WEIR,422214A,Jack Taylor H.W.,-28.00889880424422,148.61854862751588
LAKE ATKINSON,143234A,Atkinson,-27.42774294929696,152.44469217139806
LAKE WYANGALA,412010,WYANGALA STORAGE,-33.961501205168034,149.00194140844184
CARCOAR LAKE,412106,CARCOAR DAM,-33.61021368116184,149.18208666673422
CARCOAR LAKE,412106,CARCOAR DAM,-33.59752130785957,149.20754355952073
CHAFFEY RESERVOIR DAM,419069,CHAFFEY DAM,-31.3572116277885,151.1272296796085
LAKE MOOGERAH,143111A,Moogerah,-28.04647009422524,152.5402253265695
SPLIT ROCK DAM,419080,SPLIT ROCK DAM,-30.525485782764527,150.69348468491904
LAKE COOLMUNDA,416409A,Coolmunda Dam,-28.44222993713943,151.23352288330187
WEST BARWON RESERVOIR,RE750,West Barwon Res,-38.54689340610333,143.71610327120155
WURDIBOLUC RESERVOIR,RE704,Wurdee Boluc Res,-38.285312719941196,144.03994594849107
WEST GELLIBRAND DAM,RE851,West Gelli Reservoir,-38.603083902269844,143.65220832934452
DEVILBEND RESERVOIR,228264A,DEVILBEND RESERVOIR,-38.28948791127116,145.10462439403017
SCABBY GULLY DAM,ODSS_18335_WSLAHD.1,Manjimup Dam Wsl,-34.27934429052103,116.04563993991076
HELENA RIVER RESERVOIR,ODSS_21168_WSLAHD.1,Mundaring Wsl-Ranger,-31.987218889858596,116.21356591630651
GLEN MERVYN DAM,ODSS_47683_WSLAHD.1,Glen Mervyn Wsl - Logger,-33.498171468429035,116.1003287011949
CEDAR POCKET DAM,138012A,Cedar Pocket,-26.215089195419363,152.7937369279075
VICTORIA RESERVOIR,ODSS_21167_WSLAHD.1,New Victoria Water Level-Ranger,-32.04539454483597,116.07341574082814
WUNGONG RESERVOIR,ODSS_21140_WSLAHD.1,Wungong Water Level-Ranger,-32.21624482943158,116.07678193717643
CANNING RESERVOIR,ODSS_21166_WSLAHD.1,Canning Wsl-Ranger,-32.169941842910205,116.14321763896957
LAKE CALLIDE,130314B,Callide Dam (Intake),-24.355382229809084,150.64193249037447
LAKE TINAROO,110014A,Tinaroo Falls Dam,-17.192912907133902,145.58263722073633
LAKE CANIA,136115A,Cania Dam,-24.630839187189675,150.97991034682678
LAKE BAROON,138121A,Baroon Pocket,-26.7099114908003,152.8715466572103
LAKE MONDURAN,135009A,Fred Haigh Dam,-24.814947966567292,151.79291284311842
WURAMA RESERVOIR,136113A,Wuruma Dam,-25.162945807891834,150.97830718433224
LAKE BORUMBA,138112A,Yabba Ck at Borumba Dam HW,-26.520656191404917,152.5592649328434
LAKE PARANGANA,594.1,PARANGANA LAKE - AT DAM,-41.650005892927865,146.22765595824484
LAKE MACKINTOSH,656.1,MACKINTOSH LAKE - AT DAM,-41.70151318279002,145.67933483914754
KROOMBIT CREEK DAM,130360A,Kroombit Dam,-24.421044359776186,150.78330000032975
LAKE PIEMAN,742.1,PIEMAN LAKE [AT DAM],-41.76331667863431,145.2894812536842
LAKE PIEMAN,658.1,ROSEBERY LAKE [AT DAM],-41.76331667863431,145.2894812536842
LAKE ROSEBERY,656.1,MACKINTOSH LAKE - AT DAM,-41.73646827102935,145.5885375387504
LAKE ROSEBERY,657.1,MURCHISON LAKE - AT DAM,-41.73646827102935,145.5885375387504
LAKE ROSEBERY,658.1,ROSEBERY LAKE [AT DAM],-41.73646827102935,145.5885375387504
LAKE DALRYMPLE,120016A,Burdekin Falls Dam,-20.68744144200103,146.97420434762265
LAKE PALOONA,604.1,BARRINGTON LAKE - AT DAM,-41.30815104509373,146.24930128358847
LAKE PALOONA,627.1,PALOONA LAKE - AT DAM,-41.30815104509373,146.24930128358847
NEVILLE HEWITT WEIR,130304B,Neville Hewitt HW,-24.186963021003805,149.8091521468685
BEDFORD WEIR,130104A,Bedford Weir HW,-23.368158057154677,148.8136200525486
LAKE ROWALLAN,562.1,ROWALLAN LAKE - AT DAM,-41.77538389394679,146.211334954062
LAKE BURBURY,298.1,BURBURY LAKE - AT CROTTY DAM,-42.11965208755642,145.65804347238458
GYRANDA WEIR,130354A,Gyranda Weir HW,-25.295642190906154,150.1695650272677
WHITE SPUR LAKE,295.1,WHITE SPUR POND - AT DAM,-41.8927589890333,145.5302636446737
LAKE MACKENZIE,629.1,MACKENZIE LAKE - AT DAM,-41.675715751494955,146.39082499280084
GREAT LAKE,139.2,GREAT LAKE - AT POATINA INLET,-41.88386079044821,146.7422756823814
ORANGE CREEK WEIR,130354A,Gyranda Weir HW,-25.256538378620522,150.17850907358218
PINE TIER LAGOON,171.1,PINE TIER LAGOON - AT DAM,-42.08498958402066,146.4845757350958
LAKE TREVALLYN,158.1,TREVALLYN LAKE - AT DAM,-41.456918096976445,147.07204227563105
LAKE CETHANA,625.1,CETHANA LAKE - AT DAM,-41.525403960714,146.12682041354944
LAKE NEWTON,296.1,NEWTON LAKE - AT DAM,-41.91462490840488,145.56081640257403
LAKE HENTY,286.1,HENTY LAKE - AT DAM,-41.87931576741115,145.5507614659755
LAKE POONGKALIYARRA,ODSS_57389_WSLAHD.1,Harding WSL - GIS logger at Damsite,-21.01243197381241,117.11602266686153
BINGEGANG WEIR,130106A,Bingegang Weir H/W,-23.08084771197832,149.02229603048946
LAKE MURCHISON,657.1,MURCHISON LAKE - AT DAM,-41.83344095578489,145.69191120526636
LAKE PLIMSOLL,294.1,PLIMSOLL LAKE - AT INTAKE,-41.88767491647744,145.61533979564246
GLEBE WEIR,130338A,Dawson_R Glebe Wr HW,-25.478176620400177,150.01001425980346
LAKE EUNGELLA,120211A,Eungella Dam,-21.156156234173597,148.39969010565818
ARTHURS LAKE,418.1,ARTHURS LAKE - AT PUMP STATION,-41.980582988287146,146.9238907279321
LAKE GAIRDNER,613.1,GAIRDNER LAKE - AT DAM,-41.47772451011232,146.06894012928157
LAKE BARRINGTON,604.1,BARRINGTON LAKE - AT DAM,-41.389400191470536,146.21655577100418
LAKE BARRINGTON,625.1,CETHANA LAKE - AT DAM,-41.389400191470536,146.21655577100418
LAKE AUGUSTA,155.1,AUGUSTA LAKE - AT INTAKE,-41.85370565687612,146.53054796533834
TOONUMBAR DAM,203042,TOONUMBAR DAM STO,-28.60544293489792,152.77034922480584
LAKE MULWALA,sp-o10814,Yarrawonga Weir,-36.00046028814236,146.0715797108663
BUCCA WEIR,135008A,Bucca Weir,-24.88676128438165,152.07112360497936
NED CHURCHWARD WEIR,136023A,Ned Churchward HW,-25.083942228619286,152.02659538514854
BEN ANDERSON BARRAGE,136020A,Ben Anderson Barrage,-24.927563629176284,152.2315073172111
CLAUDE WHARTON WEIR,136003C,Claude Wharton HW,-25.617167072502983,151.55928439285117
MARIAN WEIR,125008A,Mirani Weir HW,-21.14664099340445,148.88575832646802
MIRANI WEIR,125008A,Mirani Weir HW,-21.20219754519232,148.81975979843443
