,ID,Depth,Surface Area,number of images
77,sp-o10298,402,0,3
78,sp-o10298,401,0,3
79,sp-o10298,400,5229375,5
80,sp-o10298,399,0,1
81,sp-o10298,480,47710625,7
82,sp-o10298,481,47136250,12
83,sp-o10298,482,47164375,18
84,sp-o10298,483,47202500,8
85,sp-o10298,484,47146875,9
86,sp-o10298,485,47272500,14
87,sp-o10298,305,0,0
88,sp-o10298,172,0,0
89,sp-o10298,203,0,0
0,410545,817,36875,48
1,410545,818,44375,85
2,410545,819,50000,113
3,410545,820,50000,168
4,410545,821,51875,268
5,410545,822,51875,265
6,410545,823,56875,39
7,410545,816,38125,30
8,410545,814,6250,2
9,410545,815,41875,11
10,410545,813,0,0
0,sp-o11534,118,50172500,93
1,sp-o11534,117,46385000,137
2,sp-o11534,116,43258750,253
3,sp-o11534,115,40415625,250
4,sp-o11534,119,53450625,93
5,sp-o11534,120,56994375,152
6,sp-o11534,121,58761250,44
7,sp-o11534,114,36910625,36
8,sp-o11534,113,34766875,23
9,sp-o11534,112,31495000,26
0,656.1,226,6093750,126
1,656.1,225,5868125,110
2,656.1,224,5853750,105
3,656.1,223,5855625,96
4,656.1,222,5639375,82
5,656.1,221,5761250,35
6,656.1,220,5306875,15
7,656.1,219,1250,6
8,656.1,227,6028125,101
9,656.1,228,5992500,127
10,656.1,229,6306250,69
11,656.1,230,0,0
0,171.1,668,627500,563
1,171.1,667,565000,110
2,171.1,669,745000,233
3,171.1,670,868750,135
4,171.1,671,904375,38
5,171.1,672,0,0
0,410717,778,568750,161
1,410717,777,567500,110
2,410717,776,551250,149
3,410717,775,531250,211
4,410717,774,523125,272
5,410717,773,506250,199
6,410717,772,488750,88
7,410717,771,469375,23
8,410717,770,421875,9
9,410717,769,442500,10
10,410717,779,0,0
11,410717,768,372500,6
12,410717,767,85625,2
0,627.1,51,1201250,115
1,627.1,52,1210625,221
2,627.1,53,1235625,68
3,627.1,50,1126875,30
4,627.1,54,1231250,40
5,627.1,49,195625,17
6,627.1,55,13750,4
7,627.1,56,0,0
0,UPPERCOLIBAN,500,2550625,22
1,UPPERCOLIBAN,499,2296875,10
2,UPPERCOLIBAN,498,2160625,21
3,UPPERCOLIBAN,497,2022500,25
4,UPPERCOLIBAN,496,1897500,16
5,UPPERCOLIBAN,495,1701875,10
