NAME,gauge_ID,Polygon_Area,staion_nam,lat,lon
LAKE COPETON,418035,46316424.3,COPETON DAM,-29.91606525,150.978289
LAKE DALRYMPLE,120016A,264791867,Burdekin Falls Dam,-20.68744144,146.9742043
LAKE DARTMOUTH,sp-o10298,48706371.3,Dartmouth,-36.59696958,147.5903518
LAKE DYER,143228A,986085.797,Bill Gunn Dam L Dyer,-27.62986629,152.3736097
LAKE EILDON,sp-o10334,133545843,EILDON,-37.16223066,145.9658191
LAKE EPPALOCK,sp-o10350,31030630.5,Lake Eppalock,-36.88549192,144.5587861
LAKE EUCUMBENE,222538,137569815,Lake Eucumbene RL,-36.08500577,148.7067235
LAKE EUNGELLA,120211A,8572778.29,Eungella Dam,-21.15615623,148.3996901
LAKE GAIRDNER,613.1,918996.293,GAIRDNER LAKE - AT DAM,-41.47772451,146.0689401
LAKE GINNINDERRA,410765,1040714.95,L Ginninderra at Dam,-35.22932585,149.0710563
LAKE GLENBAWN,210097,23587576.2,GLENBAWN DAM,-32.06305977,151.0117714
LAKE HENTY,286.1,31921.0636,HENTY LAKE - AT DAM,-41.87931577,145.5507615
LAKE HUME,401027,194173897,HUME DAM STORAGE,-36.08285618,147.1502781
LAKE JINDABYNE,222540,26431068.4,Lake Jindabyne RL,-36.37440063,148.6256083
LAKE KEEPIT,419041,42838981,KEEPIT DAM,-30.83339607,150.5212547
LAKE LESLIE,422315B,12275867.6,Leslie Dam,-28.24039771,151.9032948
LAKE MACKENZIE,629.1,2944517.23,MACKENZIE LAKE - AT DAM,-41.67571575,146.390825
LAKE MACKINTOSH,656.1,30019599.2,MACKINTOSH LAKE - AT DAM,-41.70151318,145.6793348
LAKE MAROON,145021A,3053384.24,Maroon,-28.19035959,152.6451879
LAKE MENINDEE,425022,156676810,LAKE MENINDEE,-32.34207356,142.3284686
LAKE MONDURAN,135009A,51745161.2,Fred Haigh Dam,-24.81494797,151.7929128
LAKE MOOGERAH,143111A,8628948.54,Moogerah,-28.04647009,152.5402253
