ID,Depth,Surface Area
646.1,261,117005000.0
646.1,262,120588839.28571428
646.1,263,124172678.57142857
646.1,264,127756517.85714287
646.1,265,131340357.14285715
646.1,266,134924196.42857143
646.1,267,138508035.71428573
646.1,268,142091875.0
646.1,269,145167187.5
646.1,270,148242500.0
646.1,271,157808125.0
646.1,272,167373750.0
646.1,273,169653125.0
646.1,274,171932500.0
646.1,275,175487968.75
646.1,276,179043437.5
646.1,277,182598906.25
646.1,278,186154375.0
646.1,279,189782500.0
646.1,280,193410625.0
646.1,281,196343125.0
646.1,282,199275625.0
646.1,283,202705937.5
646.1,284,206136250.0
646.1,285,208434375.0
646.1,286,210732500.0
646.1,287,211472187.5
646.1,288,212211875.0
646.1,289,214901770.83333334
646.1,290,217591666.66666666
646.1,291,220281562.5
646.1,292,222971458.33333334
646.1,293,225661354.16666666
646.1,294,228351250.0
646.1,295,230486718.75
646.1,296,232622187.5
646.1,297,234757656.25
646.1,298,236893125.0
646.1,299,238877291.66666666
646.1,300,240861458.33333334
646.1,301,242845625.0
646.1,302,244829791.66666666
646.1,303,246813958.33333334
646.1,304,248798125.0
