ID,Depth,Surface Area,Number of images
110014A,649.0,4311562.5,
110014A,650.0,5742500.0,
110014A,651.0,7173437.5,
110014A,652.0,8604375.0,
110014A,653.0,10035312.5,
110014A,654.0,11466250.0,
110014A,655.0,12897187.5,
110014A,656.0,14328125.0,
110014A,656.0,14328125.0,10.0
110014A,657.0,15759062.5,
110014A,658.0,17190000.0,12.0
110014A,659.0,18266875.0,16.0
110014A,660.0,19740625.0,40.0
110014A,661.0,20673750.0,45.0
110014A,662.0,21598750.0,56.0
110014A,663.0,24038750.0,19.0
110014A,664.0,25700000.0,51.0
110014A,665.0,26801875.0,75.0
110014A,666.0,28101250.0,111.0
110014A,667.0,28954375.0,178.0
110014A,668.0,29924375.0,167.0
110014A,669.0,30781875.0,145.0
110014A,670.0,31750625.0,
110014A,670.0,31750625.0,185.0
110014A,671.0,32719375.0,
110014A,672.0,33688125.0,
110014A,673.0,34656875.0,
110014A,674.0,35625625.0,
110014A,675.0,36594375.0,
