ID,Depth,Surface Area,Number of images
143228A,95.0,260625.0,
143228A,96.0,287500.0,
143228A,97.0,314375.0,
143228A,98.0,341250.0,
143228A,99.0,368125.0,24.0
143228A,99.0,368125.0,
143228A,100.0,395000.0,471.0
143228A,101.0,440625.0,277.0
143228A,102.0,523750.0,63.0
143228A,103.0,568750.0,28.0
143228A,104.0,621875.0,19.0
143228A,105.0,690625.0,22.0
143228A,106.0,756250.0,28.0
143228A,107.0,829375.0,41.0
143228A,108.0,874375.0,78.0
143228A,109.0,938125.0,
143228A,109.0,938125.0,150.0
143228A,110.0,1001875.0,
143228A,111.0,1065625.0,
143228A,112.0,1129375.0,
