ID,Depth,Surface Area,Number of images
130360A,252.0,46250.0,174.0
130360A,252.0,46250.0,
130360A,253.0,106875.0,12.0
130360A,254.0,196250.0,2.0
130360A,255.0,287500.0,5.0
130360A,256.0,383125.0,9.0
130360A,257.0,520000.0,7.0
130360A,258.0,689375.0,10.0
130360A,259.0,960000.0,14.0
130360A,260.0,1225625.0,17.0
130360A,261.0,1540000.0,28.0
130360A,262.0,1779375.0,50.0
130360A,263.0,1994375.0,59.0
130360A,264.0,2186250.0,68.0
130360A,265.0,2310000.0,120.0
130360A,265.0,2310000.0,
130360A,266.0,2433750.0,
130360A,267.0,2557500.0,
