ID,Depth,Surface Area,Number of images
418035,519.0,5138437.5,
418035,520.0,5808125.0,
418035,521.0,6477812.5,
418035,522.0,7147500.0,
418035,523.0,7817187.5,
418035,524.0,8486875.0,
418035,525.0,9156562.5,
418035,526.0,9826250.0,5.0
418035,526.0,9826250.0,
418035,527.0,10495937.5,
418035,528.0,11165625.0,20.0
418035,529.0,11861562.5,
418035,530.0,12557500.0,34.0
418035,531.0,13158125.0,
418035,532.0,13758750.0,37.0
418035,533.0,14608125.0,
418035,534.0,15457500.0,27.0
418035,535.0,16239062.5,
418035,536.0,17020625.0,49.0
418035,537.0,17570625.0,
418035,538.0,18120625.0,30.0
418035,539.0,19080312.5,
418035,540.0,20040000.0,79.0
418035,541.0,20679375.0,
418035,542.0,21318750.0,73.0
418035,543.0,22338750.0,
418035,544.0,23358750.0,28.0
418035,545.0,24237812.5,
418035,546.0,25116875.0,35.0
418035,547.0,25953750.0,
418035,548.0,26790625.0,9.0
418035,549.0,27095937.5,
418035,550.0,27401250.0,6.0
418035,551.0,28697500.0,
418035,552.0,29993750.0,14.0
418035,553.0,30713125.0,
418035,554.0,31432500.0,41.0
418035,555.0,32119062.5,
418035,556.0,32805625.0,27.0
418035,557.0,33859375.0,
418035,558.0,34913125.0,26.0
418035,559.0,35591562.5,
418035,560.0,36270000.0,4.0
418035,561.0,37163750.0,
418035,562.0,38057500.0,16.0
418035,563.0,38334062.5,
418035,564.0,38610625.0,24.0
418035,565.0,39804062.5,
418035,566.0,40997500.0,3.0
418035,567.0,41789687.5,
418035,568.0,42581875.0,1.0
418035,569.0,43297812.5,
418035,570.0,44013750.0,10.0
418035,571.0,44265937.5,
418035,572.0,44518125.0,
418035,572.0,44518125.0,8.0
418035,573.0,44770312.5,
418035,574.0,45022500.0,
418035,575.0,45274687.5,
418035,576.0,45526875.0,
418035,577.0,45779062.5,
