ID,Depth,Surface Area,Number of images
120211A,538.0,1198750.0,
120211A,539.0,1343750.0,
120211A,540.0,1488750.0,
120211A,541.0,1633750.0,
120211A,542.0,1778750.0,4.0
120211A,542.0,1778750.0,
120211A,543.0,1923750.0,4.0
120211A,544.0,2131875.0,11.0
120211A,545.0,2414375.0,34.0
120211A,546.0,2621250.0,33.0
120211A,547.0,2895000.0,14.0
120211A,548.0,3135625.0,15.0
120211A,549.0,3359375.0,2.0
120211A,550.0,3912500.0,5.0
120211A,551.0,4228750.0,7.0
120211A,552.0,4616875.0,8.0
120211A,553.0,4878437.5,
120211A,554.0,5140000.0,3.0
120211A,555.0,5343125.0,2.0
120211A,556.0,5736875.0,9.0
120211A,557.0,6104375.0,3.0
120211A,558.0,6443750.0,20.0
120211A,559.0,6679375.0,9.0
120211A,560.0,7120625.0,35.0
120211A,561.0,7351875.0,60.0
120211A,562.0,7711875.0,
120211A,562.0,7711875.0,280.0
120211A,563.0,8071875.0,
120211A,564.0,8431875.0,
120211A,565.0,8791875.0,
120211A,566.0,9151875.0,
120211A,567.0,9511875.0,
