ID,Depth,Surface Area,Number of images
sp-o10926,522.0,-6875.0,
sp-o10926,523.0,31250.0,
sp-o10926,524.0,69375.0,1.0
sp-o10926,524.0,69375.0,
sp-o10926,525.0,107500.0,11.0
sp-o10926,526.0,275625.0,41.0
sp-o10926,527.0,346875.0,70.0
sp-o10926,528.0,446875.0,60.0
sp-o10926,529.0,506875.0,119.0
sp-o10926,530.0,568125.0,98.0
sp-o10926,531.0,620625.0,143.0
sp-o10926,532.0,638750.0,
sp-o10926,532.0,638750.0,8.0
sp-o10926,533.0,656875.0,
sp-o10926,534.0,675000.0,
sp-o10926,535.0,693125.0,
sp-o10926,536.0,711250.0,
sp-o10926,537.0,729375.0,
