ID,Depth,Surface Area,Number of images
sp-o10298,399.0,13372812.5,
sp-o10298,400.0,13841250.0,
sp-o10298,401.0,14309687.5,
sp-o10298,402.0,14778125.0,
sp-o10298,403.0,15246562.5,
sp-o10298,404.0,15715000.0,
sp-o10298,405.0,16183437.5,
sp-o10298,406.0,16651875.0,4.0
sp-o10298,406.0,16651875.0,
sp-o10298,407.0,17120312.5,
sp-o10298,408.0,17588750.0,4.0
sp-o10298,409.0,18085625.0,
sp-o10298,410.0,18582500.0,21.0
sp-o10298,411.0,19276979.166666668,
sp-o10298,412.0,19971458.333333332,
sp-o10298,413.0,20665937.5,
sp-o10298,414.0,21360416.666666668,
sp-o10298,415.0,22054895.833333332,
sp-o10298,416.0,22749375.0,12.0
sp-o10298,417.0,23085625.0,
sp-o10298,418.0,23421875.0,23.0
sp-o10298,419.0,23944312.5,
sp-o10298,420.0,24466750.0,
sp-o10298,421.0,24989187.5,
sp-o10298,422.0,25511625.0,
sp-o10298,423.0,26034062.5,
sp-o10298,424.0,26556500.0,
sp-o10298,425.0,27078937.5,
sp-o10298,426.0,27601375.0,
sp-o10298,427.0,28123812.5,
sp-o10298,428.0,28646250.0,14.0
sp-o10298,429.0,29022500.0,
sp-o10298,430.0,29398750.0,18.0
sp-o10298,431.0,29719583.333333332,
sp-o10298,432.0,30040416.666666668,
sp-o10298,433.0,30361250.0,
sp-o10298,434.0,30682083.333333332,
sp-o10298,435.0,31002916.666666668,
sp-o10298,436.0,31323750.0,4.0
sp-o10298,437.0,31942500.0,
sp-o10298,438.0,32561250.0,3.0
sp-o10298,439.0,33669375.0,
sp-o10298,440.0,34777500.0,3.0
sp-o10298,441.0,35474062.5,
sp-o10298,442.0,36170625.0,4.0
sp-o10298,443.0,36393750.0,
sp-o10298,444.0,36616875.0,39.0
sp-o10298,445.0,37079687.5,
sp-o10298,446.0,37542500.0,32.0
sp-o10298,447.0,37981875.0,
sp-o10298,448.0,38421250.0,27.0
sp-o10298,449.0,38903437.5,
sp-o10298,450.0,39385625.0,
sp-o10298,451.0,39867812.5,
sp-o10298,452.0,40350000.0,14.0
sp-o10298,453.0,40836875.0,
sp-o10298,454.0,41323750.0,15.0
sp-o10298,455.0,41596562.5,
sp-o10298,456.0,41869375.0,11.0
sp-o10298,457.0,42317187.5,
sp-o10298,458.0,42765000.0,10.0
sp-o10298,459.0,43160312.5,
sp-o10298,460.0,43555625.0,27.0
sp-o10298,461.0,43739062.5,
sp-o10298,462.0,43922500.0,31.0
sp-o10298,463.0,44257812.5,
sp-o10298,464.0,44593125.0,8.0
sp-o10298,465.0,44794687.5,
sp-o10298,466.0,44996250.0,
sp-o10298,467.0,45197812.5,
sp-o10298,468.0,45399375.0,17.0
sp-o10298,469.0,45596562.5,
sp-o10298,470.0,45793750.0,31.0
sp-o10298,471.0,45908437.5,
sp-o10298,472.0,46023125.0,37.0
sp-o10298,473.0,46192187.5,
sp-o10298,474.0,46361250.0,18.0
sp-o10298,475.0,46551562.5,
sp-o10298,476.0,46741875.0,23.0
sp-o10298,477.0,46836562.5,
sp-o10298,478.0,46931250.0,48.0
sp-o10298,479.0,47034062.5,
sp-o10298,480.0,47136875.0,19.0
sp-o10298,481.0,47159687.5,
sp-o10298,482.0,47182500.0,26.0
sp-o10298,483.0,47230312.5,
sp-o10298,484.0,47278125.0,
sp-o10298,484.0,47278125.0,23.0
sp-o10298,485.0,47325937.5,
sp-o10298,486.0,47373750.0,
sp-o10298,487.0,47421562.5,
sp-o10298,488.0,47469375.0,
sp-o10298,489.0,47517187.5,
