ID,Depth,Surface Area,Number of images
229102A,344.0,3485625.0,
229102A,345.0,3631875.0,
229102A,346.0,3778125.0,
229102A,347.0,3924375.0,25.0
229102A,347.0,3924375.0,
229102A,348.0,4070625.0,57.0
229102A,349.0,4217500.0,
229102A,350.0,4364375.0,41.0
229102A,351.0,4405000.0,38.0
229102A,352.0,4498125.0,41.0
229102A,353.0,4641250.0,61.0
229102A,354.0,4767500.0,34.0
229102A,355.0,4858750.0,25.0
229102A,356.0,4946875.0,28.0
229102A,357.0,5078750.0,42.0
229102A,358.0,5118125.0,25.0
229102A,359.0,5195000.0,32.0
229102A,360.0,5271250.0,8.0
229102A,361.0,5283750.0,9.0
229102A,362.0,5346875.0,8.0
229102A,363.0,5350625.0,
229102A,363.0,5350625.0,13.0
229102A,364.0,5354375.0,
229102A,365.0,5358125.0,
229102A,366.0,5361875.0,
229102A,367.0,5365625.0,
229102A,368.0,5369375.0,
