ID,Depth,Surface Area,Number of images
M316,7.0,19846875.0,
M316,8.0,20985625.0,
M316,9.0,22124375.0,99.0
M316,9.0,22124375.0,
M316,10.0,23263125.0,116.0
M316,11.0,24471250.0,142.0
M316,12.0,25080625.0,221.0
M316,12.0,25080625.0,
M316,13.0,25690000.0,
M316,14.0,26299375.0,
