ID,Depth,Surface Area,Number of images
233272A,493.0,5000.0,
233272A,494.0,5625.0,
233272A,495.0,6250.0,
233272A,496.0,6875.0,
233272A,497.0,7500.0,
233272A,498.0,8125.0,
233272A,498.0,8125.0,13.0
233272A,499.0,8750.0,5.0
233272A,500.0,20000.0,13.0
233272A,501.0,25000.0,43.0
233272A,502.0,34875.0,
233272A,503.0,44750.0,
233272A,504.0,54625.0,
233272A,505.0,64500.0,
233272A,506.0,74375.0,63.0
233272A,507.0,93125.0,37.0
233272A,508.0,101250.0,42.0
233272A,509.0,117500.0,77.0
233272A,510.0,135000.0,53.0
233272A,511.0,155625.0,38.0
233272A,512.0,180000.0,40.0
233272A,513.0,193125.0,44.0
233272A,514.0,200625.0,
233272A,514.0,200625.0,36.0
233272A,515.0,208125.0,
233272A,516.0,215625.0,
233272A,517.0,223125.0,
