ID,Depth,Surface Area,Number of images
ODSS_47683_WSLAHD.1,191.0,75625.0,
ODSS_47683_WSLAHD.1,192.0,76250.0,
ODSS_47683_WSLAHD.1,193.0,76875.0,6.0
ODSS_47683_WSLAHD.1,193.0,76875.0,
ODSS_47683_WSLAHD.1,194.0,77500.0,8.0
ODSS_47683_WSLAHD.1,194.0,77500.0,
ODSS_47683_WSLAHD.1,195.0,123750.0,10.0
ODSS_47683_WSLAHD.1,196.0,137500.0,26.0
ODSS_47683_WSLAHD.1,197.0,188750.0,45.0
ODSS_47683_WSLAHD.1,198.0,218125.0,135.0
ODSS_47683_WSLAHD.1,199.0,253750.0,105.0
ODSS_47683_WSLAHD.1,200.0,290000.0,96.0
ODSS_47683_WSLAHD.1,201.0,327500.0,
ODSS_47683_WSLAHD.1,201.0,327500.0,173.0
ODSS_47683_WSLAHD.1,202.0,365000.0,
ODSS_47683_WSLAHD.1,203.0,402500.0,
ODSS_47683_WSLAHD.1,204.0,440000.0,
