ID,Depth,Surface Area,Number of images
232217A,593.0,4375.0,
232217A,594.0,40000.0,43.0
232217A,594.0,40000.0,
232217A,595.0,75625.0,83.0
232217A,596.0,179375.0,37.0
232217A,597.0,237500.0,34.0
232217A,598.0,321875.0,52.0
232217A,599.0,431875.0,24.0
232217A,600.0,706875.0,55.0
232217A,601.0,850625.0,25.0
232217A,602.0,1060000.0,48.0
232217A,603.0,1228125.0,59.0
232217A,604.0,1342500.0,
232217A,604.0,1342500.0,56.0
232217A,605.0,1456875.0,
232217A,606.0,1571250.0,
232217A,607.0,1685625.0,
232217A,608.0,1800000.0,
232217A,609.0,1914375.0,
