ID,Depth,Surface Area,Number of images
138121A,202.0,2188125.0,
138121A,203.0,2265625.0,
138121A,204.0,2343125.0,
138121A,205.0,2420625.0,
138121A,206.0,2498125.0,21.0
138121A,206.0,2498125.0,
138121A,207.0,2575625.0,32.0
138121A,208.0,2713750.0,34.0
138121A,209.0,2791875.0,60.0
138121A,210.0,2851875.0,50.0
138121A,211.0,2942500.0,52.0
138121A,212.0,3031875.0,53.0
138121A,213.0,3130000.0,119.0
138121A,214.0,3228125.0,83.0
138121A,215.0,3367500.0,114.0
138121A,216.0,3370625.0,
138121A,216.0,3370625.0,357.0
138121A,217.0,3373750.0,
138121A,218.0,3376875.0,
138121A,219.0,3380000.0,
