ID,Depth,Surface Area,Number of images
233232A,513.0,13750.0,
233232A,514.0,45625.0,
233232A,515.0,77500.0,
233232A,516.0,109375.0,
233232A,517.0,141250.0,3.0
233232A,517.0,141250.0,
233232A,518.0,173125.0,
233232A,519.0,205000.0,5.0
233232A,520.0,283125.0,
233232A,521.0,361250.0,11.0
233232A,522.0,395000.0,
233232A,523.0,428750.0,29.0
233232A,524.0,488750.0,19.0
233232A,525.0,545625.0,6.0
233232A,526.0,555625.0,19.0
233232A,527.0,640000.0,30.0
233232A,528.0,675625.0,29.0
233232A,529.0,744375.0,88.0
233232A,530.0,787500.0,58.0
233232A,531.0,868750.0,61.0
233232A,532.0,926250.0,67.0
233232A,533.0,985000.0,99.0
233232A,534.0,1035000.0,78.0
233232A,535.0,1080625.0,100.0
233232A,536.0,1088125.0,
233232A,536.0,1088125.0,39.0
233232A,537.0,1095625.0,
233232A,538.0,1103125.0,
233232A,539.0,1110625.0,
