ID,Depth,Surface Area,Number of images
sp-o11454,202.0,510000.0,
sp-o11454,203.0,754375.0,
sp-o11454,204.0,998750.0,
sp-o11454,205.0,1243125.0,24.0
sp-o11454,205.0,1243125.0,
sp-o11454,206.0,1487500.0,75.0
sp-o11454,207.0,1708125.0,32.0
sp-o11454,208.0,2032500.0,69.0
sp-o11454,209.0,2318750.0,70.0
sp-o11454,210.0,2565625.0,75.0
sp-o11454,211.0,2915625.0,46.0
sp-o11454,212.0,3209375.0,61.0
sp-o11454,213.0,3580000.0,37.0
sp-o11454,214.0,3865000.0,44.0
sp-o11454,215.0,4238750.0,37.0
sp-o11454,216.0,4591250.0,38.0
sp-o11454,217.0,5038750.0,105.0
sp-o11454,218.0,5338125.0,55.0
sp-o11454,219.0,5728125.0,54.0
sp-o11454,220.0,6163750.0,47.0
sp-o11454,221.0,6614375.0,31.0
sp-o11454,222.0,7239375.0,87.0
sp-o11454,223.0,7490000.0,
sp-o11454,223.0,7490000.0,7.0
sp-o11454,224.0,7740625.0,
sp-o11454,225.0,7991250.0,
sp-o11454,226.0,8241875.0,
sp-o11454,227.0,8492500.0,
sp-o11454,228.0,8743125.0,
