ID,Depth,Surface Area,Number of images
136115A,301.0,442500.0,
136115A,302.0,500937.5,
136115A,303.0,559375.0,
136115A,304.0,617812.5,
136115A,305.0,676250.0,20.0
136115A,305.0,676250.0,
136115A,306.0,734687.5,
136115A,307.0,793125.0,101.0
136115A,308.0,992500.0,
136115A,309.0,1191875.0,6.0
136115A,310.0,1312187.5,
136115A,311.0,1432500.0,56.0
136115A,312.0,1612812.5,
136115A,313.0,1793125.0,13.0
136115A,314.0,1998437.5,
136115A,315.0,2203750.0,40.0
136115A,316.0,2517500.0,
136115A,317.0,2831250.0,23.0
136115A,318.0,3038437.5,
136115A,319.0,3245625.0,37.0
136115A,320.0,3293125.0,
136115A,321.0,3340625.0,11.0
136115A,322.0,3687916.6666666665,
136115A,323.0,4035208.3333333335,
136115A,324.0,4382500.0,
136115A,325.0,4729791.666666667,
136115A,326.0,5077083.333333334,
136115A,327.0,5424375.0,36.0
136115A,328.0,5748125.0,
136115A,329.0,6071875.0,199.0
136115A,330.0,6145312.5,
136115A,331.0,6218750.0,32.0
136115A,331.0,6218750.0,
136115A,332.0,6292187.5,
136115A,333.0,6365625.0,
136115A,334.0,6439062.5,
136115A,335.0,6512500.0,
136115A,336.0,6585937.5,
