ID,Depth,Surface Area,Number of images
145021A,184.0,345000.0,
145021A,185.0,472500.0,
145021A,186.0,600000.0,
145021A,187.0,727500.0,
145021A,188.0,855000.0,
145021A,189.0,982500.0,
145021A,189.0,982500.0,1.0
145021A,190.0,1110000.0,36.0
145021A,191.0,1232500.0,22.0
145021A,192.0,1331250.0,59.0
145021A,193.0,1430000.0,15.0
145021A,194.0,1511875.0,9.0
145021A,195.0,1731875.0,23.0
145021A,196.0,1756250.0,21.0
145021A,197.0,1874375.0,
145021A,198.0,1992500.0,
145021A,199.0,2110625.0,3.0
145021A,200.0,2274687.5,
145021A,201.0,2438750.0,34.0
145021A,202.0,2524375.0,19.0
145021A,203.0,2668750.0,20.0
145021A,204.0,2735000.0,41.0
145021A,205.0,2826875.0,60.0
145021A,206.0,2962500.0,135.0
145021A,207.0,2995000.0,
145021A,207.0,2995000.0,126.0
145021A,208.0,3027500.0,
145021A,209.0,3060000.0,
145021A,210.0,3092500.0,
145021A,211.0,3125000.0,
145021A,212.0,3157500.0,
