ID,Depth,Surface Area,Number of images
sp-o11590,391.0,335000.0,
sp-o11590,392.0,372500.0,
sp-o11590,393.0,410000.0,
sp-o11590,394.0,447500.0,
sp-o11590,395.0,485000.0,4.0
sp-o11590,395.0,485000.0,
sp-o11590,396.0,522500.0,14.0
sp-o11590,397.0,552500.0,20.0
sp-o11590,398.0,611250.0,15.0
sp-o11590,399.0,645000.0,9.0
sp-o11590,400.0,663125.0,16.0
sp-o11590,401.0,733750.0,11.0
sp-o11590,402.0,768750.0,18.0
sp-o11590,403.0,786875.0,30.0
sp-o11590,404.0,847500.0,26.0
sp-o11590,405.0,891875.0,27.0
sp-o11590,406.0,928125.0,27.0
sp-o11590,407.0,969375.0,96.0
sp-o11590,408.0,978125.0,
sp-o11590,408.0,978125.0,232.0
sp-o11590,409.0,986875.0,
sp-o11590,410.0,995625.0,
sp-o11590,411.0,1004375.0,
