ID,Depth,Surface Area,Number of images
sp-o11534,109.0,21679375.0,
sp-o11534,110.0,24951250.0,
sp-o11534,111.0,28223125.0,
sp-o11534,112.0,31495000.0,26.0
sp-o11534,112.0,31495000.0,
sp-o11534,113.0,34766875.0,23.0
sp-o11534,114.0,36910625.0,36.0
sp-o11534,115.0,40415625.0,250.0
sp-o11534,116.0,43258750.0,253.0
sp-o11534,117.0,46385000.0,137.0
sp-o11534,118.0,50172500.0,93.0
sp-o11534,119.0,53450625.0,93.0
sp-o11534,120.0,56994375.0,152.0
sp-o11534,121.0,58761250.0,
sp-o11534,121.0,58761250.0,44.0
sp-o11534,122.0,60528125.0,
sp-o11534,123.0,62295000.0,
sp-o11534,124.0,64061875.0,
