ID,Depth,Surface Area,Number of images
sp-o10930,241.0,795000.0,
sp-o10930,241.0,795000.0,
sp-o10930,242.0,850625.0,
sp-o10930,243.0,906250.0,
sp-o10930,244.0,961875.0,
sp-o10930,245.0,1017500.0,
sp-o10930,246.0,1073125.0,
sp-o10930,247.0,1128750.0,
sp-o10930,248.0,1184375.0,
sp-o10930,249.0,1240000.0,
sp-o10930,250.0,1295625.0,
sp-o10930,251.0,1351250.0,
sp-o10930,252.0,1406875.0,
sp-o10930,253.0,1462500.0,9.0
sp-o10930,253.0,1462500.0,
sp-o10930,254.0,1518125.0,5.0
sp-o10930,255.0,2005625.0,20.0
sp-o10930,256.0,2185000.0,42.0
sp-o10930,257.0,2486250.0,43.0
sp-o10930,258.0,2763125.0,21.0
sp-o10930,259.0,3215625.0,28.0
sp-o10930,260.0,3471875.0,69.0
sp-o10930,261.0,3963125.0,45.0
sp-o10930,262.0,4439375.0,46.0
sp-o10930,263.0,4842500.0,59.0
sp-o10930,264.0,5135000.0,
sp-o10930,264.0,5135000.0,151.0
sp-o10930,265.0,5427500.0,
sp-o10930,266.0,5720000.0,
sp-o10930,267.0,6012500.0,
sp-o10930,268.0,6305000.0,
sp-o10930,269.0,6597500.0,
