ID,Depth,Surface Area,Number of images
MALMSBURY,436.0,63125.0,
MALMSBURY,437.0,166875.0,
MALMSBURY,438.0,270625.0,40.0
MALMSBURY,438.0,270625.0,
MALMSBURY,439.0,374375.0,33.0
MALMSBURY,440.0,567500.0,18.0
MALMSBURY,441.0,700625.0,55.0
MALMSBURY,442.0,1040625.0,64.0
MALMSBURY,443.0,1303750.0,84.0
MALMSBURY,444.0,1575625.0,71.0
MALMSBURY,445.0,1713125.0,39.0
MALMSBURY,446.0,1985625.0,22.0
MALMSBURY,447.0,2249375.0,70.0
MALMSBURY,448.0,2315625.0,15.0
MALMSBURY,449.0,2807500.0,
MALMSBURY,449.0,2807500.0,5.0
MALMSBURY,450.0,3299375.0,
MALMSBURY,451.0,3791250.0,
