ID,Depth,Surface Area,Number of images
ODSS_57389_WSLAHD.1,49.0,845312.5,
ODSS_57389_WSLAHD.1,50.0,1526875.0,
ODSS_57389_WSLAHD.1,51.0,2208437.5,
ODSS_57389_WSLAHD.1,52.0,2890000.0,79.0
ODSS_57389_WSLAHD.1,52.0,2890000.0,
ODSS_57389_WSLAHD.1,53.0,3571562.5,
ODSS_57389_WSLAHD.1,54.0,4253125.0,284.0
ODSS_57389_WSLAHD.1,55.0,6402187.5,
ODSS_57389_WSLAHD.1,56.0,8551250.0,346.0
ODSS_57389_WSLAHD.1,57.0,10869375.0,
ODSS_57389_WSLAHD.1,58.0,13187500.0,499.0
ODSS_57389_WSLAHD.1,59.0,13840000.0,
ODSS_57389_WSLAHD.1,60.0,14492500.0,
ODSS_57389_WSLAHD.1,60.0,14492500.0,103.0
ODSS_57389_WSLAHD.1,61.0,15145000.0,
ODSS_57389_WSLAHD.1,62.0,15797500.0,
ODSS_57389_WSLAHD.1,63.0,16450000.0,
