ID,Depth,Surface Area,Number of images
143111A,134.0,-388750.0,
143111A,135.0,388125.0,3.0
143111A,135.0,388125.0,
143111A,136.0,1165000.0,85.0
143111A,137.0,1368125.0,38.0
143111A,138.0,1668750.0,54.0
143111A,139.0,2007500.0,97.0
143111A,140.0,2256875.0,77.0
143111A,141.0,2630625.0,16.0
143111A,142.0,3014062.5,
143111A,143.0,3397500.0,10.0
143111A,144.0,4105000.0,16.0
143111A,145.0,4265000.0,11.0
143111A,146.0,4813125.0,19.0
143111A,147.0,5303750.0,66.0
143111A,148.0,5486250.0,73.0
143111A,149.0,6034375.0,21.0
143111A,150.0,6402500.0,45.0
143111A,151.0,6595000.0,34.0
143111A,152.0,7200000.0,46.0
143111A,153.0,7673125.0,146.0
143111A,154.0,7969375.0,346.0
143111A,155.0,8255625.0,27.0
143111A,155.0,8255625.0,
143111A,156.0,8541875.0,
143111A,157.0,8828125.0,
143111A,158.0,9114375.0,
143111A,159.0,9400625.0,
143111A,160.0,9686875.0,
