ID,Depth,Surface Area,Number of images
sp-o10109,251.0,520625.0,
sp-o10109,252.0,623125.0,
sp-o10109,253.0,725625.0,
sp-o10109,254.0,828125.0,
sp-o10109,255.0,930625.0,5.0
sp-o10109,255.0,930625.0,
sp-o10109,256.0,1033125.0,15.0
sp-o10109,257.0,1215000.0,34.0
sp-o10109,258.0,1503125.0,52.0
sp-o10109,259.0,1680625.0,43.0
sp-o10109,260.0,1890625.0,127.0
sp-o10109,261.0,2234375.0,308.0
sp-o10109,262.0,2530000.0,168.0
sp-o10109,263.0,2787500.0,123.0
sp-o10109,264.0,2923125.0,296.0
sp-o10109,264.0,2923125.0,
sp-o10109,265.0,3058750.0,
sp-o10109,266.0,3194375.0,
sp-o10109,267.0,3330000.0,
sp-o10109,268.0,3465625.0,
sp-o10109,269.0,3601250.0,
